PubChem CID,Protein Target
2336,B3GNTL1
3121,B3GNTL1
4098,B3GNTL1
5394,B3GNTL1
6579,B3GNTL1
6623,B3GNTL1
6626,B3GNTL1
9128,B3GNTL1
15625,B3GNTL1
23648,B3GNTL1
24597,B3GNTL1
41322,B3GNTL1
65064,B3GNTL1
104741,B3GNTL1
186907,B3GNTL1
441203,B3GNTL1
5280343,B3GNTL1
5359596,B3GNTL1
11238147,B3GNTL1
46907787,B3GNTL1
