PubChem CID,Protein Target
5280961,PPARG
5281104,PPARG
5281576,PPARG
5281600,PPARG
5281607,PPARG
5281654,PPARG
5281656,PPARG
5281673,PPARG
5281807,PPARG
5281847,PPARG
5281855,PPARG
5282138,PPARG
5282280,PPARG
5282796,PPARG
5282800,PPARG
5282820,PPARG
5282944,PPARG
5283344,PPARG
5283387,PPARG
5284373,PPARG
5284433,PPARG
5288209,PPARG
5311211,PPARG
5311217,PPARG
5312120,PPARG
5315263,PPARG
5315472,PPARG
5315615,PPARG
5315659,PPARG
5317756,PPARG
5318980,PPARG
5329102,PPARG
5352624,PPARG
5355130,PPARG
5357402,PPARG
5359367,PPARG
5359596,PPARG
5360373,PPARG
5364509,PPARG
5368831,PPARG
5372174,PPARG
5386591,PPARG
5458510,PPARG
5462310,PPARG
5463781,PPARG
5469424,PPARG
5472495,PPARG
5481350,PPARG
5488186,PPARG
5497111,PPARG
6112114,PPARG
6327000,PPARG
6327546,PPARG
6327657,PPARG
6422843,PPARG
6433556,PPARG
6435901,PPARG
6436173,PPARG
6442842,PPARG
6449999,PPARG
6518171,PPARG
6540277,PPARG
6603901,PPARG
6918540,PPARG
9570290,PPARG
9803963,PPARG
9823887,PPARG
9831414,PPARG
9839306,PPARG
9893571,PPARG
9908833,PPARG
9920342,PPARG
9929731,PPARG
9947731,PPARG
9954280,PPARG
9955612,PPARG
10068800,PPARG
10109594,PPARG
10202734,PPARG
10229498,PPARG
10313045,PPARG
10382483,PPARG
10429242,PPARG
11048796,PPARG
11285653,PPARG
11313622,PPARG
11524144,PPARG
11546596,PPARG
11556427,PPARG
11970143,PPARG
12118082,PPARG
14009349,PPARG
14030006,PPARG
16719220,PPARG
16759173,PPARG
18666097,PPARG
21633857,PPARG
21944094,PPARG
22186063,PPARG
23665730,PPARG
24816385,PPARG
24978544,PPARG
45588096,PPARG
46907787,PPARG
53310417,PPARG
54670067,PPARG
54680783,PPARG
57426056,PPARG
58496428,PPARG
68210102,PPARG
71316600,PPARG
71402018,PPARG
76853645,PPARG
86278622,PPARG
129868948,PPARG
135449333,PPARG
