PPARGC1A,INS,LEP,B3GNTL1,PPARG,EP300,LPL
1,0,0,0,0,1,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,0,1,0,1,0,1
1,0,1,0,1,0,1
1,1,0,0,0,0,0
1,0,1,0,1,0,0
1,0,0,0,0,0,0
1,0,1,0,1,1,1
1,1,0,0,1,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,1,1,0,1,0,0
1,0,0,0,0,0,0
1,0,0,0,1,0,0
1,0,0,0,0,0,0
1,1,0,0,1,0,0
1,1,1,1,1,0,1
1,1,0,0,1,0,0
1,0,0,0,1,0,0
1,0,1,0,1,0,0
1,1,0,0,1,0,1
1,0,0,0,1,0,0
1,0,0,0,1,0,0
1,1,1,0,1,0,0
1,1,0,1,1,1,1
1,1,1,0,1,0,1
1,1,1,0,1,0,1
1,1,1,0,1,0,1
1,0,0,0,1,0,0
1,0,0,0,0,0,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
1,1,1,0,0,0,1
1,1,0,0,1,0,0
1,0,0,0,0,0,0
1,1,0,0,1,0,0
1,1,0,0,0,0,0
1,1,0,0,1,0,0
1,0,0,0,0,1,1
1,1,0,0,1,1,0
1,0,0,0,1,0,1
1,1,1,0,1,0,1
1,0,0,0,1,1,0
1,1,1,0,1,1,1
1,1,0,0,1,0,1
1,1,1,0,1,1,1
1,1,0,0,1,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,0,1,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,1,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,1,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,0,1
1,0,1,0,1,1,0
1,0,0,0,0,0,0
1,0,0,0,1,0,0
1,1,0,0,1,1,0
1,1,0,1,1,1,1
1,0,0,0,0,0,0
1,0,1,0,1,1,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,1,1,0
1,0,0,1,0,0,0
1,0,0,0,0,0,1
1,1,0,0,0,0,1
1,1,0,0,1,1,0
1,0,1,0,1,1,0
1,0,0,0,0,1,0
1,0,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,1,0,0
1,0,0,0,1,1,1
1,0,0,0,0,0,0
1,0,0,0,0,1,0
1,0,0,0,1,0,1
1,1,1,0,1,0,0
1,0,0,1,1,0,0
1,0,1,0,1,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,1,1,0,1,1,0
1,1,1,0,1,0,1
1,0,0,0,0,0,0
1,0,0,0,1,0,0
1,0,0,0,0,0,0
1,1,0,1,1,0,1
1,0,0,0,1,0,0
1,0,0,0,0,0,0
1,0,0,0,1,0,0
1,0,0,0,0,0,0
1,0,0,0,1,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
